,State/UT,Number of Primary Health Centers(PHCs),Community Health Centers(CHCs),Sub-District/Divisional Hospitals(SDHs),District Hospitals(DHs),Hospitals,HospitalBeds,Population,bedsper10k,Required,gap,avg beds,new hospitals
29,West Bengal,1374,406,70,55,1905,51163,91276115,5.605299919,273828.345,222665.34499999997,26.85721784776903,8291.0
14,Uttarakhand,275,69,19,20,383,6660,10086292,6.603021209,30258.876,23598.876,17.389033942558747,1357.0
32,Uttar Pradesh,3277,671,,174,4122,58310,199812341,2.918238168,599437.023,541127.023,14.146045608927706,38253.0
13,Tripura,114,22,12,9,157,4895,3673917,13.32365429,11021.751,6126.751,31.178343949044585,197.0
22,Telangana,788,82,47,15,932,17358,35193978,4.93209378,105581.934,88223.934,18.624463519313306,4737.0
35,Tamil Nadu,1854,385,310,32,2581,72616,72147030,10.06500198,216441.09,143825.09,28.134831460674157,5112.0
3,Sikkim,25,2,1,4,32,1145,610577,18.75275354,1831.731,686.731,35.78125,19.0
30,Rajasthan,2463,579,64,33,3139,51844,68548437,7.5631192,205645.311,153801.311,16.51608792609111,9312.0
18,Punjab,521,146,47,28,742,13527,27743338,4.87576513,83230.014,69703.014,18.230458221024257,3823.0
11,Pondicherry,40,4,5,4,53,4462,1247953,35.75455165,3743.859,-718.1410000000001,84.18867924528301,-9.0
21,Orissa,1360,377,27,35,1799,16497,41974218,3.930269767,125922.654,109425.654,9.170094496942745,11933.0
5,Nagaland,134,21,,11,166,1944,1978502,9.825615541,5935.506,3991.5060000000003,11.710843373493976,341.0
6,Mizoram,65,10,3,9,87,2312,1097206,21.07170395,3291.618,979.6179999999999,26.57471264367816,37.0
12,Meghalaya,138,29,,13,180,4585,2966889,15.45389801,8900.667,4315.6669999999995,25.47222222222222,169.0
8,Manipur,87,17,1,9,114,2562,2855794,8.97123532,8567.382,6005.382,22.473684210526315,267.0
34,Maharashtra,2638,430,101,70,3239,68998,112374333,6.140014197,337122.999,268124.999,21.302253782031492,12587.0
26,Madhya Pradesh,1420,324,72,51,1867,38140,72626809,5.251504303,217880.427,179740.427,20.428494911622924,8799.0
0,Lakshadweep,4,3,2,1,10,250,64473,38.7759217,193.419,-56.58099999999999,25.0,-2.0
27,Kerala,933,229,82,53,1297,39511,33406061,11.82749442,100218.183,60707.183000000005,30.463377023901312,1993.0
31,Karnataka,2547,207,147,42,2943,56333,61140305,9.213725708,183420.915,127087.91500000001,19.141352361535848,6639.0
15,Jharkhand,343,179,13,23,558,7404,32988134,2.244443411,98964.402,91560.402,13.268817204301076,6900.0
17,Jammu and Kashmir,702,87,,29,818,11342,12267013,9.245934605,36801.039,25459.038999999997,13.865525672371637,1836.0
16,Himachal Pradesh,516,79,61,15,671,8706,6864602,12.68245413,20593.806,11887.806,12.974664679582713,916.0
19,Haryana,500,131,24,28,683,13841,25351462,5.45964568,76054.386,62213.386,20.265007320644216,3070.0
28,Gujarat,1770,385,44,37,2236,41129,60439692,6.804965187,181319.076,140190.076,18.394007155635062,7622.0
9,Goa,31,4,2,3,40,2666,1458545,18.27848986,4375.635,1709.6350000000002,66.65,26.0
25,Delhi,534,25,9,47,615,20572,16787941,12.25403401,50363.823,29791.822999999997,33.45040650406504,891.0
1,Daman and Diu,4,2,,2,8,298,243247,12.2509219,729.741,431.741,37.25,12.0
2,Dadra and Nagar Haveli,9,2,1,1,13,568,343709,16.52560742,1031.127,463.12699999999995,43.69230769230769,11.0
20,Chhattisgarh,813,166,12,32,1023,14354,25545198,5.619059989,76635.594,62281.594,14.03128054740958,4439.0
10,Chandigarh,40,2,1,4,47,3756,1055450,35.58671657,3166.35,-589.6500000000001,79.91489361702128,-7.0
23,Bihar,2007,63,33,43,2146,17796,104099452,1.709519086,312298.356,294502.356,8.292637465051259,35514.0
24,Assam,1007,166,14,33,1220,19115,31205576,6.125507826,93616.728,74501.728,15.668032786885245,4755.0
7,Arunachal Pradesh,122,62,,15,199,2320,1383727,16.76631301,4151.181,1831.1809999999996,11.658291457286433,157.0
33,Andhra Pradesh,1417,198,31,20,1666,60799,49386799,12.31077965,148160.397,87361.397,36.493997599039616,2394.0
4,Andaman and Nicobar Islands,27,4,,3,34,1246,380581,32.73941684,1141.743,-104.25700000000006,36.64705882352941,-3.0
