,State/UT,Number of Primary Health Centers(PHCs),Community Health Centers(CHCs),Sub-District/Divisional Hospitals(SDHs),District Hospitals(DHs),Hospitals,HospitalBeds,Population,Per1000,Required
29,West Bengal,1374,406,70,55,1905,51163,91276115,5.605299919,273828.345
14,Uttarakhand,275,69,19,20,383,6660,10086292,6.603021209,30258.876
32,Uttar Pradesh,3277,671,,174,4122,58310,199812341,2.918238168,599437.023
13,Tripura,114,22,12,9,157,4895,3673917,13.32365429,11021.751
22,Telangana,788,82,47,15,932,17358,35193978,4.93209378,105581.934
35,Tamil Nadu,1854,385,310,32,2581,72616,72147030,10.06500198,216441.09
3,Sikkim,25,2,1,4,32,1145,610577,18.75275354,1831.731
30,Rajasthan,2463,579,64,33,3139,51844,68548437,7.5631192,205645.311
18,Punjab,521,146,47,28,742,13527,27743338,4.87576513,83230.014
11,Pondicherry,40,4,5,4,53,4462,1247953,35.75455165,3743.859
21,Orissa,1360,377,27,35,1799,16497,41974218,3.930269767,125922.654
5,Nagaland,134,21,,11,166,1944,1978502,9.825615541,5935.506
6,Mizoram,65,10,3,9,87,2312,1097206,21.07170395,3291.618
12,Meghalaya,138,29,,13,180,4585,2966889,15.45389801,8900.667
8,Manipur,87,17,1,9,114,2562,2855794,8.97123532,8567.382
34,Maharashtra,2638,430,101,70,3239,68998,112374333,6.140014197,337122.999
26,Madhya Pradesh,1420,324,72,51,1867,38140,72626809,5.251504303,217880.427
0,Lakshadweep,4,3,2,1,10,250,64473,38.7759217,193.419
27,Kerala,933,229,82,53,1297,39511,33406061,11.82749442,100218.183
31,Karnataka,2547,207,147,42,2943,56333,61140305,9.213725708,183420.915
15,Jharkhand,343,179,13,23,558,7404,32988134,2.244443411,98964.402
17,Jammu and Kashmir,702,87,,29,818,11342,12267013,9.245934605,36801.039
16,Himachal Pradesh,516,79,61,15,671,8706,6864602,12.68245413,20593.806
19,Haryana,500,131,24,28,683,13841,25351462,5.45964568,76054.386
28,Gujarat,1770,385,44,37,2236,41129,60439692,6.804965187,181319.076
9,Goa,31,4,2,3,40,2666,1458545,18.27848986,4375.635
25,Delhi,534,25,9,47,615,20572,16787941,12.25403401,50363.823
1,Daman and Diu,4,2,,2,8,298,243247,12.2509219,729.741
2,Dadra and Nagar Haveli,9,2,1,1,13,568,343709,16.52560742,1031.127
20,Chhattisgarh,813,166,12,32,1023,14354,25545198,5.619059989,76635.594
10,Chandigarh,40,2,1,4,47,3756,1055450,35.58671657,3166.35
23,Bihar,2007,63,33,43,2146,17796,104099452,1.709519086,312298.356
24,Assam,1007,166,14,33,1220,19115,31205576,6.125507826,93616.728
7,Arunachal Pradesh,122,62,,15,199,2320,1383727,16.76631301,4151.181
33,Andhra Pradesh,1417,198,31,20,1666,60799,49386799,12.31077965,148160.397
4,Andaman and Nicobar Islands,27,4,,3,34,1246,380581,32.73941684,1141.743
